Business Name,Building,Workers,Category,Information
Minku Kim Studio,"BLDG 77 STE 1206, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Painting, Sculpture, Themes - Abstraction"
Mira Intel,,1,Power & Energy,
Miroslava Romanova,"BLDG 275 STE 210B, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Mirror Physics,Building 128/Newlab ,1,"""Hardware, Software, & Design Engineering""",Newlab subtenant 
Mixed by Nasrin,"BLDG 77, STE 1212, Brooklyn Navy Yard",1,Apparel & Accessory,"Womenswear, +Design, Manufacture high quantity of samples on-site, most production in India, E-commerce Retail"
Mochanson Corp,"BLDG 77 STE 1019 A, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)"
Mock Studio,BLDG 77 STE 1373,2,Fabrication & Custom Installation (Wood & Metal),Furniture design and fabrication
Modern Plastic Bags Mfg. Corp.,,0,,
Modos Furniture,"BLDG 128, STE n/a Newlab",1,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods"
Mojo Wang Illustration,"BLDG 62 STE 207c, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Illustration, Comic Artist"
Mondo Cane aka Patrick Parrish Gallery,"BLDG 77 STE 1205, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Aritist Rep
Monique Luchetti,"BLDG 30 STE 205, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography

Tenant noted executed a Lease Renewal in June 2024 with Michael Asente."
MoNoCo Design,"BLDG 62 STE 302, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Ceramics, E-commerce Retail"
Moonland.tv aka Iscaro's Moon Land LLC.,"BLDG 77 STE 1335, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Creative Production Company, Commercial, Post Production, Production Talent - Editing, Producing, Post"
Mothership Materials,,1,"""Biotech, Lab, & Medtech""","We transform agricultural waste into 80% of the world’s essential ingredients, fuels, and feedstocks—unlocking biomaterial possibilities for every industry."
Mullin Studio Brooklyn ,"BLDG 58 STE 2A, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Set design and styling, Custom small-scale fabrication, 3D milling, 3D printing, laser cutting, vinyl printing, casting, graphic design, decorative painting"
Muve Media,,4,,
Myrna Gordon Sculpture,"BLDG 131 STE 204, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Sculpture, Ceramics"
MZ Woodwork Inc.,"BLDG 3 STE 1007, Brooklyn Navy Yard 11205",3,Fabrication & Custom Installation (Wood & Metal),"Woodworking, Cabinetry & Millwork"
"N Y C Energy, LLC/ SEF INDUSTRIES","BLDG Berth 20B STE Berth 20B, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Power & Energy"
Nadia Belalia,"BLDG 280 STE 415, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Object Work, Sculpture, Lighting"
Nancy Bowen Studio,"BLDG 30 STE 105, Brooklyn Navy Yard 11205",5,Fine Art & Photography,"Scuplture, Drawing, Public Art"
Nanotronics Industrial LLC aka CubeFabs,"BLDG 20, 303 STE 101, Outdoor (B20); 609 (B303), Brooklyn Navy Yard 11205",18,"""Hardware, Software, & Design Engineering""",Automated optical microscopy inspection systems with applications across advanced industry and manufacturing
Naomi Katz Plotkin,"BLDG 280 STE 613, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Drawing
Natalie Frank Studio,"BLDG 77 STE 1216, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Painting, Sculpture, Paper"
National Elevator Cab & Door Corp.,"BLDG 12, 22, STE 101 (12B); 101, 201 (B20)",7,Fabrication & Custom Installation (Wood & Metal),Elevator Cabs
Naturisme Cosmetics,"BLDG 275, STE 210, Brooklyn Navy Yard",0,Beauty & Personal Care,Product development and small unit production of cosmetics
Navy Studio LLC,"Former address: 
BLDG 50A STE 101, Brooklyn Navy Yard 11205",0,,"Lease terminated in October 2024. Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Near Space Labs aka Swiftera,"BLDG 77 STE 1301, Brooklyn Navy Yard 11205",5,"""Hardware, Software, & Design Engineering""","High Resolution Geospatial Imaging using Zero-Emissions Atmospheric Robots, Technology Design and Development on-site"
Neon Lucid Dreams aka J Clyde,"BLDG 77, STE 1227",1,Fine Art & Photography,Artist Rep
New Lab Beta LLC,,2,,
New System Ventures,"BLDG 128, STE n/a Newlab",1,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)"
New York Art Conservation,"BLDG 77 STE 906, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Conservation, Restoration"
New York Civic Engagement,"BLDG Parking STE Parking, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Education & Nonprofit"
New York Decks aka Terry Designs,"BLDG 120 STE 209, 212, 213, 215, Brooklyn Navy Yard 11205",19,Contracting & Construction,"Wooden Decks, Terraces, Specialty"
New York Sand & Stone LLC,"BLDG Pier-J STE Pier J, Brooklyn Navy Yard 11205",0,,"Industry: Manufacturers & Distributors, Sub Industry: Transportation"
Newlab,"BLDG 128, STE 101A, Brooklyn Navy Yard, Brooklyn 11205",17,Other / Professional Services,"Deep Tech and Climate Tech Incubator, On-site prototyping"
Next Step Lab,"BLDG 212, STE 307, Brooklyn Navy Yard",3,Beauty & Personal Care,"Chemical Formulations for Hair Care, Body Care, Face Care, Cosmetics, Sunscreen"
Nextiles,"BLDG 128, STE n/a Newlab",2,"""Hardware, Software, & Design Engineering""",Materials Innovation; Performance Tech; Fabric
Nick Golebiewski,"BLDG 280 STE 610, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Illustration, Painting"
Nicole Cherubini,"BLDG 120 STE 201, Brooklyn Navy Yard 11205",7,Fine Art & Photography,Sculpture
Nigel Thomas,"BLDG 77, STE 1125",1,Other / Professional Services,GoLocker: On demand shipping and package tracking service and lockbox
NOM Media,,1,,
Norbert Health,"BLDG 128, STE n/a Newlab, Brooklyn Navy Yard",0,"""Biotech, Lab, & Medtech""",Vital Signs Scanner
Nova Concepts Inc.,,1,,
Numina,"BLDG 128 STE ?, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering"
NV Woodwork Corp,"BLDG 10 STE 101, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),Woodworking
NYC Ferry,,8,,
Nycap3d,"BLDG 128, STE n/a Newlab",1,"""Hardware, Software, & Design Engineering""","AR/VR/XR production, CGI animation"
nycreative LLC aka Tracy Wuischpard,"BLDG 30 STE 106, Brooklyn Navy Yard 11205",5,Fine Art & Photography,Painting
NYOrtho aka NY Orthopedic USA,"BLDG 280 STE 702, Brooklyn Navy Yard 11205",5,Healthcare,"Safety, positioning, pressure relief, and erogonomic products for rehab and wheelchair use"
Oasis Interiors,"BLDG 30, STE 104",1,Contracting & Construction,"Project Management, Design-Build, Residential, Light Commercial"
Oddly Good Studio aka Noon Nook,"BLDG 77, STE 1001A",2,Fabrication & Custom Installation (Wood & Metal),"Fabrication and Planning for Designers and Artists (collaborate with Gaetano Pesce, Supermouse Studio)"
Ojas,"BLDG 5 STE 307, 309, Brooklyn Navy Yard 11205",2,Furniture & Home Goods,"Audio Equipment, Speakers, Manufacturing through modification, Audiophile distribution"
One Community,"BLDG 3 STE 312, Brooklyn Navy Yard 11205",1,Education & Nonprofit,Food Pantry
One Dapper Street,"BLDG 77 STE 1111, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)"
OpenSuit,"BLDG 212, STE 201",1,Apparel & Accessory,
Optique Elegance,"BLDG 3, STE 403",1,,"Eyeglass Prototyping & E-commerce (Shipping, and Warehousing)"
Ori Living,"BLDG 212 STE 403, Brooklyn Navy Yard 11205",7,Furniture & Home Goods,"Design and prototyping of robotic furniture and systems for interiors, Satellite office of national firm"
Osprey Studio,"BLDG 131 STE 3D, Brooklyn Navy Yard 11205",2,Furniture & Home Goods,"Ceramic Goods, Furniture Design and Architect, Sustainable"
Outloud,,1,Fine Art & Photography,Art studio
Outsnapped.com,"BLDG 280 STE 419, Brooklyn Navy Yard 11205",1,"""Hardware, Software, & Design Engineering""","Design and fabrication of custom photo booths and software, Photo Booth Rentals for Events"
Packaging Plus USA,,1,Food & Beverage,Packaging supply warehousing
Pagani Studio,"BLDG 280 STE 810, Brooklyn Navy Yard 11205",2,Furniture & Home Goods,Lighting Fixtures
Pamela Talese Studio,"BLDG 62 STE 304, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Path Place Architecture PC,"BLDG 77, STE 1203, Brooklyn Navy Yard",1,Architecture & Design,"Architect, Renovations, Interiors, Residential"
Patina Studios,"BLDG 3 STE 601, Brooklyn Navy Yard 11205",3,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods"
Patrick Shoemaker,"BLDG 77 STE 1224A, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
Patten Studio aka D Plus I,"BLDG 77; 280, STE 1219 (77-GBMI); 505 (280)",3,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
Pattes de Mouche,"BLDG 62 STE 207b, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Illustration, Childrens Books"
Paul Betts / Paul That's Electrical,,0,,
Paul Campbell Studio,"BLDG 5 STE 202, Brooklyn Navy Yard 11205",2,Fine Art & Photography,Painting
Paula Rubenstein,"BLDG 275 STE 401, Brooklyn Navy Yard 11205",2,Furniture & Home Goods,"Sales and Restoration, Textiles and Small Antiques"
Pave Motors,"BLDG 303 STE 502, Brooklyn Navy Yard 11205",4,Power & Energy,"E-Bikes, Motorcycles, Sustainable"
PB Paints,"BLDG 280 STE 822, Brooklyn Navy Yard 11205",2,Contracting & Construction,Professional Paint and Plaster
PDI ,"400 Chestnut Ridge Road, Woodcliff Lake, NJ 07677",2,"Fabrication & Custom Installation (Wood & Metal),Industrial","PDI is dedicated to leading the fight against preventable infections in healthcare, foodservice and our communities. Driven by a commitment to research, quality and service, PDI provides innovative products, educational resources, training and support to help prevent infection transmission and promote health and wellness."
Peter M Murray INC ,"BLDG 77, STE 1211",1,Creative Office & Media,Writing studio for music composer for film and television
Pettibone Design,"BLDG 77, STE 1011 C, Brooklyn Navy Yard",1,Architecture & Design,"Architect, Interior Design, Design-Build, Project Management"
pH7 Natural Beauty Inc,"BLDG 77 STE 1111A, Brooklyn Navy Yard 11205",1,,"Nail Care, Hand and Foot Care Products, Non-toxic, E-commerce Retail"
Physical Synthesis,"BLDG 128, STE n/a Newlab",0,"""Hardware, Software, & Design Engineering""",Rapid prototyping (RDFM) for sound design products
PiccoliNY,"BLDG 3, STE 1100, Brooklyn Navy Yard",1,Apparel & Accessory,"Clothing, Childrens, Novelty, Small Goods, +Design, E-commerce Retail"
Picture Farm,"Previous address: BLDG 77 STE 506, Brooklyn Navy Yard 11205",11,,"Lease terminated in June 2024.

Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
Pink Rooster AND Milky Way Studio,"BLDG 77 STE 1119 A, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),Large-scale Fabrication for Retail and Events
Pinky Swear,,1,"Food & Beverage,Fine Art & Photography",Hospitality	
Pizza Yard,"BLDG 77 STE 107, Brooklyn Navy Yard 11205",2,Food & Beverage,"Specialty - Pizza, The Market @77, Food Service Only"
Plantaer,"BLDG 131, STE 210, Brooklyn Navy Yard",1,Architecture & Design,Production of architectural concrete products
Pliant Energy Systems LLC,"BLDG 280 STE 614, Brooklyn Navy Yard 11205",1,"""Hardware, Software, & Design Engineering""","Design and Prototyping of Underwater Robot for Aquatic Monitoring, Renewable Energy Research, Yard Labs Pilot"
Podium Automation,"19 Morris Avenue
Brooklyn, NY ",3,Fabrication & Custom Installation (Wood & Metal),"Manufacturers customized control panels for industrial automation
"
Poise NYC,"BLDG 77 STE 1229, Brooklyn Navy Yard 11205",2,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
Ponto Care,"BLDG 128, STE n/a Newlab",1,Healthcare,"Medical, Exams"
Popwheels,"BLDG 128, STE n/a Newlab",3,Power & Energy,Software-enabled e-bike public battery cabinet charging; Sustainability
Poritz & Studio,"BLDG 77 STE 1020, Brooklyn Navy Yard 11205",2,Furniture & Home Goods,"Wood Furniture, Ceramics, Sculpture, E-commerce Retail"
Posterfix Corp,"BLDG 77 STE 1101, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Restoration, Conservation, Poster Art, E-commerce Retail"
Potion Design - HyperQuake ,"BLDG 77 STE 1312, Brooklyn Navy Yard 11205",1,"""Hardware, Software, & Design Engineering""","Experience Design, Interactivity, AR, VR"
Precision Gears,"College Point, NY",1,,
Precision X Group,"78 Brookside Rd., Waterbury, CT 06708",2,,"PrecisionX Group is a leading provider of precision metal components, serving critical industries such as aerospace & defense, medical devices, satellite & space, electric vehicles, mining, and semiconductors. By uniting the specialized expertise of GEM, Coining, National Manufacturing, Ditron, and MSK Precision Products, we offer a comprehensive range of advanced manufacturing solutions."
Prior Pictures,"BLDG 77, STE 1214",1,Fine Art & Photography,Photography
Propel-LI Electric Bikes,,1,,
Prospect Woodworks,"BLDG 5 STE 304, 306, Brooklyn Navy Yard 11205",3,Fabrication & Custom Installation (Wood & Metal),"Woodworking, Custom Residential, Cabinetry and Millwork"
Protospark LLC,"63 Flushing Avenue
BLDG 275, STE 405
Brooklyn, NY  11205",2,Fabrication & Custom Installation (Wood & Metal),Rapid prototyping
Pull City aka Apeman Technologies,"BLDG 128 STE ?, Brooklyn Navy Yard 11205",2,Other / Professional Services,B2B Platform for Campuses; Inventory Management Software
Quickreturn aka Veho,,0,,"Industry: Manufacturers & Distributors, Sub Industry: Transportation

Termination notice sublease as of May 2024."
Qunnect,"BLDG 77, 303 STE 1110, 1129 (77); 701 (303), Brooklyn Navy Yard 11205",3,"""Hardware, Software, & Design Engineering""",Hardware and Device Suite to enable Quantum Networking
R & CO.,"BLDG 5, STE 601, Brooklyn Navy Yard, Brooklyn 11205",9,Architecture & Design,Artist Rep
R&M Santoli Landscape Inc,,1,Other / Professional Services,Landscaping business
Radical AI,"BLDG 20 , Suite 101",1,Advanced Manufacturing,"Radical AI is accelerating materials R&D. Through the integration of artificial intelligence, engineering, materials science, and applied research"
Rafael Ramirez,"Building 62, Suite 301",1,Fine Art & Photography,"Sculpture, Painting, Product Photography, Lighting Fixtures"
Ralph Summers aka Block Society Media,"BLDG 77 STE 1039, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Commercial Art, Photography, Graphic Design"
RE Tax Service,"BLDG 77 STE 1322, Brooklyn Navy Yard 11205",1,Other / Professional Services,Real Estate Tax Consultant
Re-Nuble,"BLDG 128, STE n/a Newlab",1,Food & Beverage,Hydroponic food supplies & mats; Sustainability
Rebel Designs,"BLDG 77, STE 708, Brooklyn Navy Yard",2,Apparel & Accessory,"Jewelry, E-commerce Retail"
Recycletek,"BLDG 128, STE 1",2,,Business originating from New Lab.
Red Door Offices,"Former address:
BLDG 77, STE 1116",1,,"Termination notice of sub-lease in October 2024.	

Sublease of GBMI 77."
Red Summer TV,"BLDG 77 STE 1121, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Creative Production Company, Production Studio Rental, Music Videos, Commercial"
Reed + Rader,"BLDG 77 STE 1224 C, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
Reelarc,"BLDG 77 STE 1311, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Production Services - Reels, Brand Development"
Reem Plumbing & Heating Corp.aka Thermomechanics Corp.,"BLDG 5, 58 STE 205 (B5); B (B58), Brooklyn Navy Yard 11205",7,Contracting & Construction,"Metal Fabrication, Industrial Pipefitting, Plumbing and Heating Repair and Maintenance"
Reflex Robotics aka Timeback,"BLDG 77, STE 503",4,"""Hardware, Software, & Design Engineering""","Robotics, Humanoid"
Refoundry,"BLDG 212 STE 6794, Brooklyn Navy Yard 11205",2,,"Industry: Services, Artists, & Designers, Sub Industry: Education & Nonprofit"
Renovate Robotics,"BLDG 3 STE 604, Brooklyn Navy Yard 11205",2,"""Hardware, Software, & Design Engineering""","Robotics for Roof Installation, Solar"
Replit,"BLDG 77 STE 1123 C, Brooklyn Navy Yard 11205",1,"""Hardware, Software, & Design Engineering""",AI-Enabled Software Development Platform
Resolution Audio Video dba Stereobuyers,,1,Other / Professional Services,"Design and install smart home systems. Buy, sell and restore vintage hifi equipment. Manufacture audio cables."
ReThink Food,,0,,
Revel Transit,,0,,
Reversible Destiny Foundation,"BLDG 212 STE 505, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Artist Rep (Shusaku Arakawa and Madeline Gins), Foundation"
Revivn,"BLDG 77, STE 208, 404, 601, 605, 701",5,"""Hardware, Software, & Design Engineering""","Electronics Recycling and Refurbishment, B Corp, Founder Speaker"
Robert Kalka Custom Woodworking,"BLDG 5 STE 310, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),"Cabinets, Doors"
Robert Martin Designs INC,"BLDG 280 STE 220, 223, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,Wood Furniture
Robin Sacks Decorative Painting,"BLDG 131 STE 3I, 3J, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Decorative Painting, Residential Interiors, Commercial Art"
Roboto NYC,,0,,
RockPaperRobot,"BLDG 128, STE n/a Newlab",1,Furniture & Home Goods,Chairs
Ron Baron Studio,"BLDG 131 STE 207, Brooklyn Navy Yard 11205",3,Fine Art & Photography,"Sculpture, Ceramics"
"Rooftop Reds aka Point of the Bluff
 Vineyards","BLDG 275 STE Roof, Brooklyn Navy Yard 11205",2,Food & Beverage,"Industry: Services, Artists, & Designers, Sub Industry: Food & Bev Retailx"
Rose Solomon Co.,"BLDG 120, STE 101, Brooklyn Navy Yard",2,Apparel & Accessory,"Specialty, Jewish Funerary"
Royal Supply Company,"BLDG 3 STE 101, Brooklyn Navy Yard 11205",2,Other / Professional Services,"Wholesale, Mixed Merchandise"
Rubinstein Van Lines,"BLDG 62 STE 208, Brooklyn Navy Yard 11205",1,Transportation,Moving Company
Russ & Daughters,"BLDG 77 STE 102, Brooklyn Navy Yard 11205",7,Food & Beverage,"Specialty - Jewish Appetizing, Bagels and Lox, Retail, The Market @77, E-commerce Retail"
Rustik,"BLDG 77 STE 105, Brooklyn Navy Yard 11205",7,Food & Beverage,"Specialty - New American, Bar, The Market @77, Food Service Only"
"Ryba General Merchandising, Inc. aka Classic Men's",,0,,"Tenant evicted as of April 2024.

Industry: Manufacturers & Distributors, Sub Industry: Apparel & Accessory"
S T Express,"BLDG 500 STE ?, Brooklyn Navy Yard 11205",0,Transportation,Freight Carrier
S&G Fine Chair Collection,"BLDG 3 STE 302, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,"Custom Finishing and Upholstery, Dining Room Chairs and Benches"
S3G Energy,"BLDG 77, STE 1302",1,Power & Energy,Solar energy systems & service (Corp. headquarters in AZ)
Sabor Restaurant & Bakery,"BLDG 77 STE 110B, Brooklyn Navy Yard 11205",1,Food & Beverage,"Specialty - Dominican, Lunch, The Market @77, Food Service Only, No Kitchen"
Salty Labs aka Jonsara Ruth Studio,"Former address: BLDG 5 STE 318, Brooklyn Navy Yard 11205",1,,"Sublease terminated in October 2024.

Industry: Services, Artists, & Designers, Sub Industry: Architecture & Design"
SAMAP USA,"BLDG 77 STE 1307A, Brooklyn Navy Yard 11205",1,,"Project Management, Technical and Logistic Consulting for Luxury Furniture Installations for Large Commercial/Retail Clients"
Sanxia Studio,"BLDG 120, STE 205",1,Fine Art & Photography,"Painting, Mixed Media"
Sarah Durham,"Former address: BLDG 5 STE 318, Brooklyn Navy Yard 11205",1,,"Termination notice in October 2024. 

Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Sarah Palmer,"BLDG 77, STE 1114",1,Fine Art & Photography,"Painting, Collage, Photography; Faculty at Parsons and SVA"
Sartorous,"BLDG 5, STE 312, Brooklyn Navy Yard",6,Apparel & Accessory,"Menswear Specialty Accessories, Suspenders, Garters, Gloves, Retail"
Satoshi Photography,"BLDG 3 STE 811, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Photography
Saya Woolfalk Studio,"BLDG 212 STE 204, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Tech Art, Painting, Installation, High Profile"
SBT Solutions,"BLDG 77, STE 1101 A, Brooklyn Navy Yard",1,Architecture & Design,"Architecture, Engineering & Design"
Scenicorp,"Renewal for Building 51, Suite 101. Termination + Lease Renewal Notice: Scenic Corp. of New York - Building 292, Suites 102+103+106+107+110+201.

BLDG 51, 292 STE 101 (B51); 102, 103, 106, 107, 110, 201, Brooklyn Navy Yard 11205",22,Fabrication & Custom Installation (Wood & Metal),"Scenic Design & Fabrication, Film, TV, Events"
Schematic,"BLDG 5 STE 308, Brooklyn Navy Yard 11205",3,Fabrication & Custom Installation (Wood & Metal),"Woodworking, Cabinetry & Millwork"
Schivo Medical,,0,,Off The Yard - had a CNC training placement here.
Schwimmer & Meisels,"BLDG 3, 280 STE 102 (B3); 403 (B280), Brooklyn Navy Yard 11205",1,Other / Professional Services,"Warehousing, Mixed Merchandise"
Scott Jordan Furniture,"BLDG 280 STE 606, 607, 621, 622, Brooklyn Navy Yard 11205",2,Furniture & Home Goods,"Sofa Beds, Bed Frames, Custom Cabinetry"
Scully's Wonderful Stuff,"BLDG 131, STE 3t, 3z, Brooklyn Navy Yard",2,Beauty & Personal Care,"Deodorant, Sanitizer, Organic, E-commerce Retail"
Sean Michael Thomas,"BLDG 77, STE 1217",1,Fine Art & Photography,Photography/Videography Studio
Sebastian Kim aka AREA 1201,Brooklyn Navy Yard 11205,1,,"Lease naturally terminated in July 2024.

Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Sensofar,"BLDG 128, STE n/a Newlab",1,,"Industry: Manufacturers & Distributors, Sub Industry: Hardware, Software, & Design Engineering"
Servicio Ejecutivo,"BLDG 131, STE 3L",1,Fine Art & Photography,"Painting, Drawing, Collage, Object Work"
Seth Orion Schwaiger Studio,"BLDG 212 STE 303, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Installation, Sculpture"
Sets by Rudge & Tip Top Props,"BLDG 5, STE 206, 207, 208",3,Fabrication & Custom Installation (Wood & Metal),"Set Design, Construction, and Prop Rentals (Tip Top Props)"
Sexton Horani,"Former address: BLDG 77 STE 1130, Brooklyn Navy Yard 11205",1,,"Termination notice as of August 2024.

Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
Shared Studios,"BLDG 128, STE n/a Newlab",7,Creative Office & Media,"&Hardware, Software, & Design Engineering, Experience Design, Interactive"
Sharon Horvath,"BLDG 30 STE 203, Brooklyn Navy Yard 11205",3,Fine Art & Photography,Painting
Shattered Prism LLC,"BLDG 212 STE 304, Brooklyn Navy Yard 11205",2,Creative Office & Media,"Distributor, Rental, and Servicer of low-emissions (uses battery, not gas or diesel) portable power stations for film, events, disaster relief, and construction sites"
